time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1618272000,79562.28,75268.75,75271.43,127.78,9974899.1,79281.53,direct,
1618358400,81022.95,76797.37,79281.53,110.3,8755560.16,78784.36,direct,
1618444800,79963.61,77451.49,78784.36,72,5669196.69,79472.87,direct,
1618531200,79716.5,75465.36,79472.87,105.6,8165092.1,77068.28,direct,
1618617600,78222.45,75277.83,77068.28,67,5137262,75398.74,direct,
1618704000,75800.66,65177.09,75398.74,197.91,13955502.12,70568.59,direct,
1618790400,72111.36,68188.3,70568.59,126.38,8907671.55,70023.12,direct,
1618876800,72171.33,66919.39,70023.12,117.26,8135199.98,71397.7,direct,
1618963200,71816.46,66948.49,71397.7,76.45,5300923.9,67497.7,direct,
1619049600,69296.54,62973.11,67497.7,132.56,8808205.92,64785.61,direct,
1619136000,65189.98,59355.32,64785.61,185.27,11513245.95,63872.12,direct,
1619222400,64084.68,61153.8,63872.12,55.52,3482749.89,62838.77,direct,
1619308800,63418.94,59136.65,62838.77,75.2,4623146.38,61351.91,direct,
1619395200,67651.75,61249.94,61351.91,117.81,7793772.44,67074.63,direct,
1619481600,68771.93,66291.27,67074.63,60.49,4104646.05,68371,direct,
1619568000,69439.38,66830.35,68371,56.82,3856730.55,67565.69,direct,
1619654400,67892.22,64447.53,67565.69,46.04,3036811.98,65938.56,direct,
1619740800,71334.43,65313.6,65938.56,65.84,4514414,71182.31,direct,
1619827200,71995.49,70179.54,71182.31,45.17,3217084.31,71153.14,direct,
1619913600,71312.09,69026.02,71153.14,46.15,3228365.35,69528.02,direct,
1620000000,72437.12,69435.12,69528.02,95.04,6763690.46,70262.05,direct,
1620086400,70262.05,65487.83,70262.05,112.48,7628922.96,65567.16,direct,
1620172800,70938.78,65385.05,65567.16,109.89,7593938.58,70334.4,direct,
1620259200,71322.58,67648.9,70334.4,89.07,6191261.48,68584.97,direct,
1620345600,71323.56,67195.42,68584.97,135.43,9358428.86,69748.85,direct,
1620432000,72114.66,69263.28,69748.85,103.55,7373740.25,71286.28,direct,
1620518400,71735.31,68397.39,71286.28,49.34,3459703.61,70242.64,direct,
1620604800,71569.12,60493.48,70242.64,140.28,9609396.85,67792.55,direct,
1620691200,68978.6,66100.65,67792.55,132.21,8982996.23,68590.09,direct,
1620777600,69963.4,58703.25,68590.09,129.86,8614896.2,59536.28,direct,
1620864000,62231.65,56340.57,59536.28,237.41,14188825.41,60359.91,direct,
1620950400,62470.42,59489.22,60359.91,97.03,5933323.53,60540.32,direct,
1621036800,61332.71,56540.35,60540.32,91.73,5405474.48,56812.51,direct,
1621123200,59978.64,52702.45,56812.51,116.05,6502925.13,56000.94,direct,
1621209600,56040.1,48062,56000.94,244.72,12679159.8,52491.57,direct,
1621296000,55233.78,51188.02,52491.57,103.92,5505788.51,51756.01,direct,
1621382400,52581.04,37161.97,51756.01,388.18,17992653.18,44720.39,direct,
1621468800,51549.23,42572.44,44720.39,226.3,10939478.97,49029.01,direct,
1621555200,51385.89,40627.45,49029.01,235.88,10836710.18,45155.71,direct,
1621641600,47102.04,42790.32,45155.71,95.25,4330980.22,45273.75,direct,
1621728000,46227.12,37570.06,45273.75,298.28,12152772.03,42069,direct,
1621814400,48180.38,41617.68,42069,2212.62,101845470.9,46954.93,direct,
1621900800,47995.2,44005.71,46954.93,4757.8,217710367.4,46460.5,direct,
1621987200,49385.5,45520.61,46460.5,5300.62,250509883.2,47481.47,direct,
1622073600,48866.37,44956.34,47481.47,3544.92,166222700.7,46313.74,direct,
1622160000,47041.2,41758.6,46313.74,4898.45,216799699.7,42912.05,direct,
1622246400,45089.97,40524.58,42912.05,3510.09,149205816.5,41630.03,direct,
1622332800,44153.95,40228.39,41630.03,3198.68,136570347.3,43173.33,direct,
1622419200,45330.13,41188.01,43173.33,4416.32,191964792.3,44850.02,direct,
1622505600,45786.61,42874.78,44850.02,3439.99,151708397.4,44408.56,direct,
1622592000,46159.63,43249.71,44408.56,4016.12,180565196.7,45103.36,direct,
1622678400,47694.49,44674.24,45103.36,4176.36,194175155.8,47499.42,direct,
1622764800,47600.19,43062.95,47499.42,4940.09,221058320.4,44651,direct,
1622851200,45914.34,41947.17,44651,5659.46,250936765.6,43053.24,direct,
1622937600,44125.09,42455.25,43053.24,4873.4,211404492.1,43344.24,direct,
1623024000,44692.64,40211.04,43344.24,6267.96,271030691.6,40438.76,direct,
1623110400,41222.54,37449.77,40438.76,7354.12,291346649,40306.17,direct,
1623196800,45573.57,39119.85,40306.17,6940.37,292421073.8,45149.23,direct,
1623283200,46610.82,43274.52,45149.23,4679.64,209948450.5,44218.73,direct,
1623369600,45667.96,43382.83,44218.73,5012.63,223125615,45220.34,direct,
1623456000,45620.84,41973.04,45220.34,8768.09,380219813.6,42978.29,direct,
1623542400,47926.35,42159.8,42978.29,5615.88,243896686.1,47662.91,direct,
1623628800,49847.52,46943.89,47662.91,5968.04,289567136.3,49051.22,direct,
1623715200,50495.6,48000.83,49051.22,11394.49,557157410.9,49044.08,direct,
1623801600,49414.31,46622.14,49044.08,9122.44,438530252.4,46937.54,direct,
1623888000,48828.21,46094.36,46937.54,13653.17,648777623.1,47122.14,direct,
1623974400,47300.01,43540.42,47122.14,15269.29,700661114.3,44745.65,direct,
1624060800,45487.81,43310.1,44745.65,15771.99,702741772.9,44100.31,direct,
1624147200,45103.35,41448.85,44100.31,19917.12,868936169.1,44174,direct,
1624233600,44606.16,38629.61,44174,9259.95,385021996.6,38944.07,direct,
1624320000,41187.05,35601.66,38944.07,18014.22,708081354.9,40100.92,direct,
1624406400,42823.85,38942.78,40100.92,15406,640222719.9,41312.07,direct,
1624492800,43435.29,39676.06,41312.07,9691.27,402554167.8,42570.68,direct,
1624579200,43837.53,38360.02,42570.68,9142.3,374882079.9,38704.98,direct,
1624665600,40240.1,36974.93,38704.98,8290.56,320106022.8,39558.8,direct,
1624752000,42717.57,39226.82,39558.8,7137.58,290221855,42716.91,direct,
1624838400,43462.67,41673.97,42716.91,9908.21,420423177.6,42378.39,direct,
1624924800,45405.84,42154.5,42378.39,10274.81,451309531.9,44557.06,direct,
1625011200,44860.84,42120.83,44557.06,8898.08,385139363.1,43530.49,direct,
1625097600,43553.01,40631.95,43530.49,8348.49,348185738.4,41595.55,direct,
1625184000,42335.11,40579.27,41595.55,6808.51,281245588.4,41758.51,direct,
1625270400,43141.97,40950.54,41758.51,7438.22,314634392.9,42839.1,direct,
1625356800,44412.59,42231.53,42839.1,6149,267522152.5,43381.94,direct,
1625443200,43532.9,40822.66,43381.94,9726.17,408412561.4,41455.87,direct,
1625529600,43378.33,41413.6,41455.87,10344.97,437288415.6,42541.99,direct,
1625616000,43680.41,42063.07,42541.99,5005.69,215381561.4,42131,direct,
1625702400,42432.19,40187.9,42131,4386.12,180464646.7,41318.84,direct,
1625788800,42477.2,40350.59,41318.84,3418.44,141679381.5,41924.32,direct,
1625875200,42732.44,40979.94,41924.32,3070.5,128861585.5,41820.91,direct,
1625961600,43214.22,41321.68,41820.91,7615.58,320873177.3,42480.01,direct,
1626048000,43332.66,40546.21,42480.01,8119.51,341546585.7,41111.64,direct,
1626134400,41683.54,40182.18,41111.64,8079.27,331063925,40843.3,direct,
