time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1600992000,14390.45,13979.51,14337.38,110.22,1570555.78,14227.87,direct,
1601078400,14419.93,14092.34,14227.87,117.44,1681258.18,14323.39,direct,
1601164800,14412.46,14025.43,14323.39,94.88,1354357.27,14381.6,direct,
1601251200,14623.27,14216.85,14381.6,92.11,1335771.09,14218.56,direct,
1601337600,14494.21,14084.66,14218.56,66.33,949930.38,14469.84,direct,
1601424000,14495.07,14117.87,14469.84,55.5,795040.35,14372.29,direct,
1601510400,14527.66,13934.27,14372.29,99.51,1418434.33,14102.02,direct,
1601596800,14184.61,13858.8,14102.02,93.13,1305952.04,14072.09,direct,
1601683200,14159.67,13996.47,14072.09,52.45,737324.16,14064.76,direct,
1601769600,14259.86,14027.21,14064.76,34.6,489260.83,14196.28,direct,
1601856000,14343.72,14133.62,14196.28,55.27,787298.76,14337.74,direct,
1601942400,14495.31,14024.04,14337.74,53.71,763548.91,14167.47,direct,
1602028800,14185.93,14061.22,14167.47,63.41,896051.72,14179.96,direct,
1602115200,14472.56,14000.19,14179.96,86.89,1241861.57,14425.68,direct,
1602201600,14609.54,14311.46,14425.68,128.02,1857829.89,14539.98,direct,
1602288000,15008.06,14499,14539.98,100.58,1496781.38,14829.56,direct,
1602374400,14992.69,14802.62,14829.56,44.82,668829.92,14960.38,direct,
1602460800,15385.69,14777.78,14960.38,83.71,1262255.86,15137.71,direct,
1602547200,15158.73,14859.24,15137.71,93.38,1401908.53,15044.66,direct,
1602633600,15170.47,14886.74,15044.66,63.14,947060.28,15073.12,direct,
1602720000,15330.5,14937.5,15073.12,80.3,1213709.55,15241.7,direct,
1602806400,15324.62,14863.55,15241.7,98.89,1485526.61,14983.81,direct,
1602892800,15081.74,14914.33,14983.81,46.86,701943.21,15001.28,direct,
1602979200,15231.54,14989.99,15001.28,35.62,538208.94,15223,direct,
1603065600,15565.79,15063.88,15223,72.08,1106948.25,15536.1,direct,
1603152000,15780.99,15438.85,15536.1,112.2,1755784.62,15694.54,direct,
1603238400,17461.68,15645.2,15694.54,207.56,3447721.37,16884.73,direct,
1603324800,17383.69,16761.96,16884.73,149.41,2553929.7,17095.49,direct,
1603411200,17160.99,16810.83,17095.49,115.03,1958771.21,17018.93,direct,
1603497600,17224.04,16873.33,17018.93,89.19,1525321.24,17167.15,direct,
1603584000,17407.15,16907.26,17167.15,115.5,1983466.34,17156.58,direct,
1603670400,17497.4,16946.35,17156.58,103.5,1776865.85,17237.42,direct,
1603756800,18127.94,17211.47,17237.42,86.11,1521058.54,18024.87,direct,
1603843200,18224.98,17158.33,18024.87,74.14,1313344.08,17667.7,direct,
1603929600,18252.03,17376.6,17667.7,80.32,1437434.56,17913.36,direct,
1604016000,18230.3,17524.05,17913.36,102.59,1839438.46,18125,direct,
1604102400,18705.23,17931.59,18125,123.33,2267775.92,18434.48,direct,
1604188800,18498.5,18220.42,18434.48,40.69,747567.02,18382.54,direct,
1604275200,18555.28,17839,18382.54,88.34,1601275.31,18044.79,direct,
1604361600,18412.64,17688.84,18044.79,42.86,772105.33,18391.45,direct,
1604448000,18617.2,18055.54,18391.45,58.34,1074343.21,18597.77,direct,
1604534400,20641.79,18551.95,18597.77,98.42,1922519.8,20511.1,direct,
1604620800,20899.51,19903.47,20511.1,91.53,1859237.33,20420.11,direct,
