time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1626912000,41070.54,39724.47,40231.29,2926.23,118320932,40693.69,direct,
1626998400,42301.79,40142.57,40693.69,6655.41,271305172.2,42031.27,direct,
1627084800,43487.13,41838.66,42031.27,6393.58,271975440.4,42902.82,direct,
1627171200,44521.71,42426.38,42902.82,5028.43,217323884.5,44521.71,direct,
1627257600,50936.37,44202.66,44521.71,8419.93,404252690.3,46966.1,direct,
1627344000,49857.35,45549.13,46966.1,5140.28,243063808.5,49561.02,direct,
1627430400,51546.31,48628.78,49561.02,4916.57,246037078.9,50231.65,direct,
1627516800,50761.09,48864.25,50231.65,11497.24,571503852.3,49923.94,direct,
1627603200,52921.74,47542.24,49923.94,8638.53,426924514.7,52784.5,direct,
1627689600,52954.7,49024.81,52784.5,5985.2,310476507.2,51909.2,direct,
1627776000,53311.08,49043.06,51909.2,4324.45,223862790.2,49553.88,direct,
1627862400,50525.63,48247.25,49553.88,4385.35,216640929.4,48802.3,direct,
1627948800,49831.23,47067.34,48802.3,4784.13,230545325.8,47723.58,direct,
1628035200,50249.48,46889.54,47723.58,4329.79,210538050.2,49670.51,direct,
1628121600,51855.33,46527.95,49670.51,4537.82,224356243.7,51191.91,direct,
1628208000,54448.69,49728.58,51191.91,3921.81,200880481.7,53855.44,direct,
1628294400,56301.48,53329.38,53855.44,3365.38,184281267.7,55717.81,direct,
1628380800,57052.19,54148.42,55717.81,3503.56,195050918.5,54914.41,direct,
1628467200,58532.55,53670.17,54914.41,3698.07,208458227,57994.49,direct,
1628553600,58873.38,55790.27,57994.49,4382.07,250643911.5,56852.19,direct,
1628640000,58625.68,56609.77,56852.19,4067.81,234671447.8,57215.05,direct,
1628726400,57944.88,54691.86,57215.05,3556.27,200178839.7,55441.69,direct,
1628812800,60044.44,55207.81,55441.69,4003.26,231926402.4,59983.44,direct,
1628899200,60345.15,57368.57,59983.44,4119.3,242269437.4,58666.84,direct,
1628985600,59614.76,56163.78,58666.84,4314.57,250460588.7,59005.99,direct,
1629072000,60291.66,57233.13,59005.99,4683.69,275422084.6,57564.06,direct,
1629158400,59599.94,55911.1,57564.06,5006.91,289907782.5,56237.05,direct,
1629244800,58214.3,55694.28,56237.05,5579.68,317788399.5,56448.69,direct,
1629331200,60360.97,55578.51,56448.69,4051.04,233136648.5,59802.23,direct,
1629417600,63441.11,59602.3,59802.23,4437.48,272660529.4,63376.41,direct,
1629504000,63955.92,61702.42,63376.41,4400.53,276401689.8,62430.39,direct,
1629590400,63598.32,61443.57,62430.39,4128.25,258272706.6,63344.02,direct,
1629676800,64556.71,61884.87,63344.02,3913.88,247813483.2,62799.48,direct,
1629763200,63045.51,59753.72,62799.48,4585.66,282600341.6,59907.8,direct,
1629849600,62154.29,59145.65,59907.8,4552.09,276760141.7,61828.35,direct,
1629936000,62300.24,58202.98,61828.35,5135.4,307270260.1,59654.92,direct,
1630022400,62157.69,58601.33,59654.92,4860.57,293705957.9,61680.14,direct,
1630108800,62365.52,60839.44,61680.14,4787.79,295257915.5,61726.13,direct,
1630195200,62757.53,60091.54,61726.13,4023.86,246740600.4,61674.98,direct,
1630281600,61823.99,58834.73,61674.98,4903.92,297072686.4,59009.12,direct,
1630368000,61023.39,58693.59,59009.12,4005.22,238497267,59587.22,direct,
1630454400,62047.82,58588.18,59587.22,4656.89,279885023.1,61415.28,direct,
1630540800,63596.9,61078.13,61415.28,4905.84,306516167.9,62045.27,direct,
1630627200,63932.14,60563.1,62045.27,1308.5,80982184.12,62774.39,direct,
1630713600,63207.04,61658.93,62774.39,1767.57,110731220.1,62668.67,direct,
1630800000,65178.85,61760.61,62668.67,5433.45,342376044.1,65001.18,direct,
1630886400,66185.14,63745.9,65001.18,4856.9,314970810,65766.91,direct,
1630972800,66425.61,55646.67,65766.91,4742.11,299014566.7,59345.41,direct,
1631059200,59968.65,56322.12,59345.41,3088.77,180819654.3,58290.06,direct,
1631145600,59981.55,57716.5,58290.06,4886.61,287447830,58563.97,direct,
1631232000,59700.84,55957.65,58563.97,3871.34,224919563.8,56738.48,direct,
1631318400,58494.33,56576.84,56738.48,3548.46,204147449.7,57140.57,direct,
1631404800,59027.32,56591.24,57140.57,5171.73,299104768.4,58541.36,direct,
1631491200,59427.79,54886.08,58541.36,4961.23,281154972.7,56989.62,direct,
1631577600,60106.88,56396.98,56989.62,6149.59,357709060.1,59545.17,direct,
1631664000,61489.51,59126.31,59545.17,5109.18,307381502,60549.22,direct,
1631750400,61429.48,59433.41,60549.22,4019.4,243701809.7,60348.88,direct,
1631836800,61180.35,59427.21,60348.88,5051.39,304969111.5,60166.9,direct,
1631923200,62501.64,59849.56,60166.9,5054.77,311498082.8,61468.51,direct,
1632009600,61945.66,59681.75,61468.51,3913.28,238199090.9,60476.62,direct,
1632096000,60566.15,54339.93,60476.62,4613.46,264420286.6,54911.22,direct,
1632182400,55723.85,50674.68,54911.22,4122.36,222296207.1,52029.99,direct,
1632268800,56102.05,51836.92,52029.99,6212.73,338703111,55513.23,direct,
1632355200,57082.7,54788.01,55513.23,6672.36,373576184.8,56662.02,direct,
1632441600,57423.35,51536.17,56662.02,7576.96,413195542.8,54306.35,direct,
1632528000,54519.97,52476.71,54306.35,6986.59,376183823.3,53831.67,direct,
1632614400,55724.27,51372.51,53831.67,6752.9,365686586.9,54810.59,direct,
1632700800,56138.07,53025.2,54810.59,6428.84,353171526.6,53089.7,direct,
1632787200,54047.11,51712.09,53089.7,6795.21,360399078.5,52178.05,direct,
1632873600,54169.54,51557.43,52178.05,6474.43,343882927.9,53100.84,direct,
1632960000,55960.2,52646.04,53100.84,5817.95,319699518.6,55743.46,direct,
1633046400,61480.08,54870.89,55743.46,6627.83,385434772.3,61062.68,direct,
1633132800,61295.34,59804.33,61062.68,5233.37,316575197.3,60044.56,direct,
1633219200,62413.95,59391.84,60044.56,5876.13,356716369.9,61034.51,direct,
1633305600,61635.16,59336.02,61034.51,2113.73,127579324.3,61561.89,direct,
1633392000,64949.73,61427.71,61561.89,76.69,4827952.57,64438.88,direct,
