time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644192000,56511.34,53155.83,54090.29,89.38,4925012.82,55610.37,direct,
1644278400,57761.68,54261.58,55610.37,63.5,3540453.45,56015.37,direct,
1644364800,56839.77,54828.63,56015.37,59.14,3301664.85,56225.88,direct,
1644451200,57872.29,55046.82,56225.88,54.81,3094758.11,55415.72,direct,
1644537600,55803.25,53511.61,55415.72,59.52,3257043.14,53975.79,direct,
1644624000,54751.37,53219.65,53975.79,27.92,1504514.41,53754.36,direct,
1644710400,54393.24,53337.45,53754.36,29.25,1572754.59,53654.47,direct,
1644796800,54553.34,52988.2,53654.47,42.9,2304341.82,54251.63,direct,
1644883200,56907.39,54101.71,54251.63,43.01,2400722.36,56830.26,direct,
1644969600,56830.26,55002.78,56830.26,27.51,1534642.79,55808.91,direct,
1645056000,56013.87,50895.23,55808.91,40.97,2196056.98,51451.49,direct,
1645142400,51991.63,50356.48,51451.49,53.24,2724710.75,51016.33,direct,
1645228800,51566.78,50563.12,51016.33,28.45,1449792.89,51110.88,direct,
1645315200,51110.88,48423.56,51110.88,48.37,2396889.46,49010.99,direct,
1645401600,50180.9,47138.82,49010.99,73.57,3587934.69,47419.61,direct,
1645488000,49005.98,46425.05,47419.61,64.17,3068347.04,48877.45,direct,
1645574400,49695.6,47209.27,48877.45,61.65,2995097.37,47438.53,direct,
1645660800,50018.82,44078.75,47438.53,123.21,5695717.62,49134.12,direct,
1645747200,50585,48781.45,49134.12,55.45,2756823.41,49791.02,direct,
1645833600,50952.02,49028.5,49791.02,26.88,1336588.97,49655.69,direct,
1645920000,50584.65,47395.14,49655.69,80.47,3943013.6,48177.95,direct,
1646006400,55844.92,47839.38,48177.95,169.13,8802705.3,54627.82,direct,
1646092800,56998.68,54351.65,54627.82,141.19,7812954.47,56580.27,direct,
1646179200,57334.1,55007.13,56580.27,55.46,3105724.03,55592.73,direct,
1646265600,55627.15,53085.72,55592.73,50.86,2764740.09,53785.22,direct,
1646352000,53827.23,49192.87,53785.22,69.47,3604596.53,49879.98,direct,
1646438400,50422.58,49247.18,49879.98,39.66,1978016.97,50206.03,direct,
1646524800,50499.55,48393.58,50206.03,33.72,1665873.68,48883.87,direct,
1646611200,50394.33,47605.63,48883.87,91.65,4467695.56,48668.12,direct,
1646697600,50556.9,47279.32,48668.12,149.77,7356345.69,49801.82,direct,
1646784000,54917.41,49779.56,49801.82,150.8,8070197.46,53745.83,direct,
1646870400,53818.9,49476.33,53745.83,67.89,3430553.71,50301.55,direct,
1646956800,51233.19,48813.7,50301.55,56.35,2799744.13,49418.61,direct,
1647043200,50175.07,49337.85,49418.61,22.11,1102496.87,49516.17,direct,
1647129600,50088.29,48254.56,49516.17,24.62,1213041.09,48464.69,direct,
1647216000,51001.5,48178,48464.69,51.93,2573869.87,50698.85,direct,
1647302400,50854.62,48897.95,50698.85,59.83,2992775.94,50274.25,direct,
1647388800,53080.74,49721.85,50274.25,146.68,7562381.42,52185.31,direct,
1647475200,52491.14,51363.76,52185.31,38.95,2015239.42,51753.98,direct,
1647561600,53302.71,50850.82,51753.98,61.82,3226596.73,52727.68,direct,
1647648000,53402.41,52274.98,52727.68,37.11,1954884.53,53244.61,direct,
1647734400,53403.56,51647.55,53244.61,36.62,1922368.56,51959.54,direct,
1647820800,52281.04,51148.46,51959.54,33.42,1729892,51622.97,direct,
1647907200,54641.75,51522.89,51622.97,72.96,3903044.43,53272.56,direct,
1647993600,54009.03,52607.14,53272.56,41.38,2200453.27,53963.41,direct,
1648080000,55470.51,53696.69,53963.41,53.74,2934384.66,55119.75,direct,
1648166400,56394.68,54707.1,55119.75,58.36,3243644.22,55332.77,direct,
1648252800,55892.52,55090.25,55332.77,33.16,1839166.13,55582.3,direct,
1648339200,58514.17,55512.92,55582.3,48.14,2728428.28,58514.17,direct,
1648425600,60350.47,58289.02,58514.17,78.06,4629781.37,58958.13,direct,
1648512000,60190.07,58716.85,58958.13,41.07,2439373.83,59314.24,direct,
1648598400,59515.86,58236.97,59314.24,37.44,2202860.7,58671.62,direct,
1648684800,59474.6,56611.27,58671.62,66.42,3851872,56947.49,direct,
1648771200,58296.83,55363.48,56947.49,60.92,3456242.06,57807.28,direct,
1648857600,58948.47,57136.84,57807.28,31.95,1853130.03,57285.92,direct,
1648944000,59484.62,56928.96,57285.92,118.76,6899696.76,58149.66,direct,
1649030400,58465.16,56525.94,58149.66,46.76,2694573.79,58211.09,direct,
1649116800,58671.92,56754.44,58211.09,33.1,1903632.84,56797.23,direct,
1649203200,56832.78,54154.34,56797.23,79.15,4371574.16,54264.95,direct,
1649289600,55089.29,53767.42,54264.95,55.68,3040776.52,54689.31,direct,
1649376000,55340.48,52987.19,54689.31,41.78,2265961.13,53161.75,direct,
1649462400,53820.77,53006.04,53161.75,17.64,941149.63,53820.77,direct,
1649548800,54595.38,52716.67,53820.77,56.04,3003317.28,53013.85,direct,
1649635200,53381.1,49590.6,53013.85,92.37,4776983.22,49922.75,direct,
1649721600,51338.45,49651.18,49922.75,49.7,2507487.58,50668.53,direct,
1649808000,52144.06,50012.74,50668.53,83.64,4297716.25,51644.07,direct,
1649894400,52030.12,49952.71,51644.07,49.87,2531964.41,50337.24,direct,
1649980800,51375.4,50199.4,50337.24,47.64,2413953.57,51143.98,direct,
1650067200,51308.68,50499.66,51143.98,22.71,1156871.66,50902.43,direct,
1650153600,51047.56,49846.61,50902.43,30.77,1557315.69,49966.46,direct,
1650240000,51662.93,48601.04,49966.46,64.73,3232703.51,51284.4,direct,
1650326400,52508.03,50856.11,51284.4,80.09,4136822.73,52224.65,direct,
1650412800,52784.1,51120.99,52224.65,65.68,3410542.93,51679.82,direct,
1650499200,53578.29,50081.09,51679.82,108.57,5651787.23,50956.68,direct,
1650585600,51381.47,49790.75,50956.68,58.45,2962942.3,50480.13,direct,
1650672000,50780.6,49973.45,50480.13,27.94,1407584.07,50358.94,direct,
1650758400,50938.75,49855.83,50358.94,23.68,1191185.93,50122.83,direct,
1650844800,51475.67,48818.87,50122.83,76.41,3815389.84,51434.07,direct,
1650931200,51920.77,48496.24,51434.07,69.86,3506865.93,48864.46,direct,
1651017600,50542.93,48763.96,48864.46,76.46,3810808,50259.28,direct,
1651104000,51560.49,50072.92,50259.28,70.56,3598595.06,50885.26,direct,
1651190400,50954.24,49133.57,50885.26,56.31,2799982.4,49577.71,direct,
1651276800,49784.72,48203.68,49577.71,38.07,1876193.7,48293.97,direct,
1651363200,49520.99,48037.25,48293.97,51.86,2527309.54,49378.78,direct,
1651449600,50346.7,49122.56,49378.78,61.12,3037177.45,49569.98,direct,
